INEGI. IX Censo Ejidal 2007,,,,,,,
Chapulhuacan,22,20,19,1,7,105,2
Chilcuautla,6,4,4,0,1,19,2
Eloxochitlan,8,5,5,0,1,20,3
Emiliano Zapata,4,4,4,0,2,128,0
Epazoyucan,12,10,9,0,7,89,2
Francisco I. Madero,C,C,2,1,0,0,C
Huasca de Ocampo,27,23,21,2,6,57,4
Huautla,42,37,35,4,12,253,5
Huazalingo,12,11,11,0,5,349,1
Huehuetla,6,3,3,0,0,0,3
Huejutla de Reyes,47,43,41,1,8,403,4
Huichapan,35,35,35,1,14,102,0
Ixmiquilpan,24,20,20,1,1,60,4
Jacala de Ledezma,13,13,13,0,0,0,0
Jaltocan,16,13,13,0,5,136,3
Juarez Hidalgo,4,4,3,0,1,35,0
Lolotla,10,8,8,0,6,133,2
Metepec,11,10,10,0,3,26,1
San Agustin Metzquititlan,7,4,4,0,2,5,3
Metztitlan,27,19,19,0,6,31,8
Mineral del Chico,6,4,4,0,2,31,2
Mineral del Monte,C,C,2,0,0,0,C
Mixquiahuala de Juarez,7,7,6,0,3,12,0
Molango de Escamilla,13,10,10,0,3,20,3
Nicolas Flores,4,1,0,0,1,9,3
Nopala de Villagran,9,9,9,0,6,109,0
Omitlan de Juarez,4,4,4,0,0,0,0
San Felipe Orizatlan,80,69,67,12,30,903,11
Pacula,C,C,1,0,0,0,C
Pachuca de Soto,7,6,6,0,1,0,1
Pisaflores,6,5,5,2,4,85,1
Progreso de Obregon,C,C,1,0,0,0,C
Mineral de la Reforma,7,5,4,1,0,0,2
San Agustin Tlaxiaca,10,9,9,2,1,9,1
San Bartolo Tutotepec,7,1,1,0,0,0,6
San Salvador,18,15,15,1,4,63,3
Santiago de Anaya,13,13,13,0,4,129,0
Santiago Tulantepec de Lugo Guerrero,6,5,5,0,1,12,1
Singuilucan,15,14,14,0,1,13,1
Tasquillo,17,8,8,2,3,211,9
Tecozautla,32,29,29,2,15,136,3
Tenango de Doria,5,5,5,0,0,0,0
Tepeapulco,9,9,9,0,3,34,0
Tepehuacan de Guerrero,31,25,24,2,5,110,6
Tepeji del Rio de Ocampo,16,16,16,0,5,43,0
Tepetitlan,12,10,10,0,4,25,2
Tetepango,C,C,2,0,1,10,C
Villa de Tezontepec,C,C,1,0,0,0,C
Tezontepec de Aldama,5,5,5,0,0,0,0
Tianguistengo,24,22,22,2,7,42,2
Tizayuca,3,3,3,0,1,0,0
Tlahuelilpan,C,C,1,0,1,60,C
Tlahuiltepa,15,5,5,0,0,0,10
Tlanalapa,3,3,3,0,0,0,0
Tlanchinol,34,30,30,0,4,7,4
Tlaxcoapan,4,4,4,0,1,6,0
Tolcayuca,3,3,3,0,2,52,0
Tula de Allende,25,19,19,1,6,67,6
Tulancingo de Bravo,14,13,12,0,6,55,1
Xochiatipan,25,22,21,2,11,49,3
Xochicoatlan,15,11,10,0,6,36,4
Yahualica,20,16,16,4,4,46,4
Zacualtipan de angeles,19,17,17,4,7,114,2
Zapotlan de Juarez,3,3,2,0,1,0,0
Zempoala,24,19,19,0,8,96,5
Zimapan,46,36,35,1,5,36,10
Jalisco,1429,1201,1186,72,148,1371,228
Acatic,C,C,2,0,0,0,C
Acatlan de Juarez,7,6,5,0,1,0,1
Ahualulco de Mercado,8,7,7,1,1,10,1
Amacueca,C,C,1,0,0,0,C
Amatitan,5,5,5,0,2,17,0
Ameca,44,41,40,3,7,49,3
San Juanito de Escobedo,5,5,5,0,1,6,0
Arandas,C,C,0,1,0,0,C
El Arenal,C,C,3,0,1,4,C
Atemajac de Brizuela,9,7,7,0,1,6,2
Atengo,12,8,8,0,0,0,4
Atenguillo,5,3,3,0,1,34,2
Atotonilco el Alto,19,14,14,0,2,0,5
Atoyac,11,10,10,2,1,14,1
Autlan de Navarro,27,25,24,1,5,55,2
Ayotlan,15,12,12,0,1,12,3
Ayutla,27,22,22,0,0,0,5
La Barca,28,22,22,0,0,0,6
Bolaños,C,C,1,0,0,0,C
Cabo Corrientes,20,16,15,0,7,77,4
Casimiro Castillo,16,15,15,0,6,63,1
Cihuatlan,15,15,15,1,4,40,0
Zapotlan el Grande,5,5,5,0,0,0,0
Cocula,19,19,19,1,0,0,0
Colotlan,7,7,7,0,1,10,0
Concepcion de Buenos Aires,11,9,9,3,0,0,2
Cuautitlan de Garcia Barragan,12,10,10,0,3,0,2
Cuautla,4,2,2,0,0,0,2
Cuquio,13,11,11,0,1,23,2
Chapala,6,4,4,0,1,14,2
Chimaltitan,C,C,1,2,1,5,C
Chiquilistlan,6,6,6,1,1,12,0
Degollado,23,13,13,0,0,0,10
Ejutla,3,3,3,0,0,0,0
Encarnacion de Diaz,12,10,10,0,1,50,2
Etzatlan,10,9,9,1,1,4,1
El Grullo,8,6,6,0,1,5,2
Guachinango,13,9,9,0,1,8,4
Guadalajara,C,C,1,0,0,0,C
Hostotipaquillo,17,14,14,0,0,0,3
Huejucar,5,4,4,0,1,5,1
Huejuquilla el Alto,3,3,3,0,0,0,0
La Huerta,32,31,31,3,10,83,1
Ixtlahuacan de los Membrillos,10,10,10,0,1,0,0
Ixtlahuacan del Rio,12,12,12,0,0,0,0
Jalostotitlan,C,C,1,0,0,0,C
Jamay,4,3,3,0,0,0,1
Jesus Maria,C,C,2,0,0,0,C
Jilotlan de los Dolores,26,20,20,0,3,0,6
Jocotepec,15,13,13,1,1,0,2
Juanacatlan,6,5,5,0,0,0,1
Juchitlan,7,7,7,1,0,0,0
Lagos de Moreno,44,39,39,0,2,19,5
El Limon,6,5,5,0,0,0,1
Magdalena,10,9,9,0,4,26,1
Santa Maria del Oro,4,4,4,0,0,0,0
La Manzanilla de la Paz,9,9,9,1,0,0,0
Mascota,16,15,14,6,2,3,1
Mazamitla,19,15,15,1,1,0,4
Mexticacan,3,1,1,0,0,0,2
Mezquitic,8,8,8,0,0,0,0
Mixtlan,5,5,5,0,0,0,0
Ocotlan,16,14,14,1,1,6,2
Ojuelos de Jalisco,20,19,18,1,8,76,1
Pihuamo,18,17,17,1,1,8,1
Poncitlan,17,13,13,0,1,40,4
Puerto Vallarta,15,13,13,0,3,0,2
Villa Purificacion,13,11,11,2,3,30,2
Quitupan,25,22,22,1,0,0,3
El Salto,4,2,2,0,1,0,2
San Cristobal de la Barranca,C,C,1,1,1,0,C
San Diego de Alejandria,C,C,1,0,0,0,C
San Juan de los Lagos,7,6,6,0,0,0,1
San Marcos,4,4,4,0,1,18,0
San Martin Hidalgo,18,15,15,1,0,0,3
San Miguel el Alto,C,C,0,0,0,0,C
Gomez Farias,5,4,4,0,0,0,1
San Sebastian del Oeste,18,14,13,2,3,36,4
Santa Maria de los angeles,10,8,8,0,1,40,2
Sayula,5,2,2,0,0,0,3
Tala,13,11,11,0,1,8,2
Talpa de Allende,17,15,15,0,0,0,2
Tamazula de Gordiano,35,32,32,4,1,0,3
Tapalpa,8,7,7,0,2,31,1
Tecalitlan,17,10,10,2,0,0,7
Tecolotlan,20,17,17,8,0,0,3
Techaluta de Montenegro,C,C,2,0,0,0,C
Tenamaxtlan,12,11,11,0,0,0,1
Teocaltiche,11,6,6,0,6,116,5
Teocuitatlan de Corona,27,23,23,0,2,18,4
Tepatitlan de Morelos,C,C,1,0,0,0,C
Tequila,15,13,13,0,0,0,2
Teuchitlan,6,6,6,0,1,15,0
Tizapan el Alto,14,12,12,1,0,0,2
Tlajomulco de Zuñiga,25,22,20,4,5,14,3
Tlaquepaque,7,6,6,0,0,0,1
Toliman,12,9,9,0,1,10,3
Tomatlan,40,29,28,2,10,105,11
Tonala,8,5,4,0,3,59,3
Tonaya,C,C,0,0,0,0,C
Tonila,8,6,6,0,1,0,2
Tototlan,22,17,17,0,0,0,5
Tuxcacuesco,8,6,6,0,0,0,2
Tuxcueca,5,5,5,0,0,0,0
Tuxpan,14,10,10,0,3,52,4
Union de San Antonio,17,16,16,0,0,0,1
Union de Tula,14,12,12,0,0,0,2
Valle de Guadalupe,C,C,0,0,0,0,C
Valle de Juarez,9,9,9,0,0,0,0
San Gabriel,22,18,18,0,2,6,4
Villa Corona,5,5,5,0,0,0,0
Villa Guerrero,C,C,1,0,0,0,C
Villa Hidalgo,4,0,0,0,0,0,4
Cañadas de Obregon,C,C,1,1,1,12,C
Yahualica de Gonzalez Gallo,3,3,3,0,0,0,0
Zacoalco de Torres,16,16,16,0,0,0,0
Zapopan,32,25,24,2,5,6,7
Zapotiltic,18,14,14,0,0,0,4
Zapotitlan de Vadillo,4,3,3,0,1,0,1
Zapotlan del Rey,22,18,17,8,1,11,4
Zapotlanejo,11,11,11,0,0,0,0
Mexico,1233,962,943,62,183,3327,271
Acambay,32,24,24,0,4,45,8
Acolman,13,10,9,0,1,10,3
Aculco,26,21,21,2,7,68,5
Almoloya de Alquisiras,12,7,7,0,2,0,5
Almoloya de Juarez,36,32,32,0,3,1,4
Almoloya del Rio,4,1,1,0,0,0,3
Amanalco,19,14,13,1,8,180,5
Amatepec,17,15,15,2,3,10,2
Amecameca,11,7,7,0,1,22,4
Apaxco,C,C,1,0,1,8,C
Atenco,5,5,5,0,1,0,0
Atizapan,C,C,1,0,1,15,C
Atizapan de Zaragoza,C,C,1,0,1,0,C
Atlacomulco,29,25,24,1,6,162,4
Atlautla,C,C,1,1,1,0,C
Axapusco,16,16,16,4,5,140,0
Ayapango,5,5,5,0,0,0,0
Calimaya,9,7,7,0,0,0,2
Capulhuac,4,0,0,0,0,0,4
Coacalco de Berriozabal,C,C,2,0,0,0,C
Coatepec Harinas,11,9,9,0,1,0,2
Cocotitlan,C,C,2,0,1,0,C
Coyotepec,C,C,1,1,0,0,C
Cuautitlan,C,C,2,1,1,0,C
Chalco,14,13,13,1,3,44,1
Chapa de Mota,15,11,10,0,3,10,4
Chapultepec,C,C,1,0,0,0,C
Chiautla,5,5,4,0,2,13,0
Chicoloapan,C,C,1,0,1,187,C
Chiconcuac,C,C,1,0,0,0,C
Chimalhuacan,C,C,1,0,0,0,C
Donato Guerra,17,10,10,0,4,25,7
Ecatepec de Morelos,8,5,5,1,2,56,3
Ecatzingo,C,C,1,1,1,78,C
Huehuetoca,3,3,3,1,2,21,0
Hueypoxtla,11,11,11,0,3,78,0
Huixquilucan,7,2,2,0,1,0,5
Isidro Fabela,4,3,3,1,1,30,1
Ixtapaluca,9,5,5,0,0,0,4
Ixtapan de la Sal,C,C,1,0,0,0,C
Ixtapan del Oro,8,7,7,1,2,15,1
Ixtlahuaca,36,34,33,2,3,4,2
Jaltenco,C,C,1,0,0,0,C
Jilotepec,33,33,32,0,5,44,0
Jilotzingo,7,3,3,1,0,0,4
Jiquipilco,15,13,13,0,1,8,2
Jocotitlan,15,12,12,0,2,8,3
Joquicingo,3,3,3,0,0,0,0
Juchitepec,C,C,0,0,0,0,C
Lerma,20,10,9,2,4,61,10
Malinalco,13,10,10,0,0,0,3
Melchor Ocampo,3,2,2,0,0,0,1
Metepec,5,4,3,1,1,56,1
Mexicaltzingo,C,C,1,0,0,0,C
Morelos,14,11,11,1,1,0,3
Naucalpan de Juarez,8,3,3,0,0,0,5
Nextlalpan,3,3,3,0,0,0,0
Nicolas Romero,9,6,6,0,2,2,3
Nopaltepec,4,4,4,1,1,40,0
Ocoyoacac,8,5,5,1,1,10,3
Ocuilan,5,4,4,0,0,0,1
El Oro,12,11,11,0,0,0,1
Otumba,12,11,11,0,2,30,1
Otzoloapan,C,C,1,0,1,55,C
Otzolotepec,10,8,8,2,2,0,2
Ozumba,5,3,3,0,0,0,2
Papalotla,C,C,1,0,1,2,C
La Paz,C,C,0,0,0,0,C
Polotitlan,10,9,9,0,1,0,1
Rayon,4,4,4,0,0,0,0
San Antonio la Isla,C,C,2,0,1,35,C
San Felipe del Progreso,47,38,36,4,3,0,9
San Martin de las Piramides,8,7,7,0,1,0,1
San Mateo Atenco,C,C,1,0,0,0,C
San Simon de Guerrero,C,C,1,0,0,0,C
Santo Tomas,6,5,5,0,1,0,1
Soyaniquilpan de Juarez,7,7,7,0,4,210,0
Sultepec,9,4,4,0,1,30,5
Tecamac,10,7,7,1,4,124,3
Tejupilco,14,13,11,1,1,150,1
Temamatla,C,C,2,0,0,0,C
Temascalapa,11,11,11,0,4,47,0
Temascalcingo,27,17,17,1,2,0,10
Temascaltepec,36,28,28,0,5,75,8
Temoaya,9,7,7,1,1,5,2
Tenancingo,22,19,18,0,4,35,3
Tenango del Aire,4,4,4,0,0,0,0
Tenango del Valle,13,7,7,1,1,0,6
Teoloyucan,7,3,3,0,1,20,4
Teotihuacan,8,6,6,0,1,1,2
Tepetlaoxtoc,10,8,8,1,3,50,2
Tepetlixpa,4,3,3,2,0,0,1
Tepotzotlan,5,4,4,1,2,45,1
Tequixquiac,3,3,3,0,0,0,0
Texcaltitlan,8,3,2,1,1,60,5
Texcalyacac,C,C,1,0,0,0,C
Texcoco,31,28,28,3,7,59,3
Tezoyuca,C,C,2,0,0,0,C
Tianguistenco,3,1,1,0,0,0,2
Timilpan,7,6,6,0,0,0,1
Tlalmanalco,6,4,4,0,1,1,2
Tlalnepantla de Baz,5,4,3,0,1,0,1
Tlatlaya,23,17,17,1,3,80,6
Toluca,22,12,12,0,0,0,10
Tonatico,5,3,3,0,0,0,2
Tultepec,C,C,2,0,0,0,C
Tultitlan,4,4,4,0,1,10,0
Valle de Bravo,20,18,18,1,5,71,2
Villa de Allende,32,29,29,1,5,91,3
Villa del Carbon,11,9,9,0,1,72,2
Villa Guerrero,12,6,5,1,2,20,6
Villa Victoria,28,28,28,9,5,234,0
Xonacatlan,3,1,1,0,1,8,2
Zacazonapan,C,C,2,0,0,0,C
Zacualpan,12,9,9,0,0,0,3
Zinacantepec,18,15,15,0,1,39,3
Zumpahuacan,C,C,2,0,0,0,C
Zumpango,9,7,7,0,1,10,2
Cuautitlan Izcalli,9,6,6,1,1,0,3
Valle de Chalco Solidaridad,C,C,1,0,0,0,C
Luvianos,3,2,2,0,0,0,1
San Jose del Rincon,50,32,31,1,6,207,18
Michoacan de Ocampo,1910,1562,1548,55,175,2510,348
Acuitzio,8,5,5,1,2,34,3
Aguililla,16,16,16,0,1,15,0
alvaro Obregon,23,15,15,1,1,5,8
Angamacutiro,24,18,18,0,0,0,6
Angangueo,6,6,6,1,1,8,0
Apatzingan,51,41,40,2,17,144,10
Aporo,C,C,3,0,0,0,C
Aquila,7,4,4,0,0,0,3
Ario,40,32,32,0,3,32,8
Arteaga,20,17,16,3,7,95,3
Briseñas,4,4,4,0,0,0,0
Buenavista,47,35,35,0,4,49,12
Caracuaro,12,10,10,0,0,0,2
Coahuayana,12,12,12,1,2,12,0
Coalcoman de Vazquez Pallares,10,7,7,0,0,0,3
Coeneo,35,34,34,0,1,0,1
Contepec,30,29,29,0,4,67,1
Copandaro,5,5,5,0,0,0,0
Cotija,19,14,14,0,0,0,5
Cuitzeo,9,8,8,0,0,0,1
Charapan,4,2,2,0,0,0,2
Charo,17,14,14,3,1,12,3
Chavinda,12,7,7,0,0,0,5
Cheran,C,C,1,0,0,0,C
Chilchota,13,11,11,3,0,0,2
Chinicuila,8,7,7,1,2,7,1
Chucandiro,14,11,11,1,0,0,3
Churintzio,16,12,12,0,0,0,4
Churumuco,25,17,17,1,3,54,8
Ecuandureo,17,15,15,0,0,0,2
Epitacio Huerta,15,14,14,0,2,17,1
Erongaricuaro,12,5,4,2,0,0,7
Gabriel Zamora,7,7,7,0,1,12,0
Hidalgo,31,21,20,5,4,10,10
La Huacana,68,49,49,0,14,186,19
Huandacareo,5,4,4,0,0,0,1
Huaniqueo,20,17,17,0,0,0,3
Huetamo,54,41,41,1,2,1,13
Huiramba,5,5,5,0,0,0,0
Indaparapeo,12,10,10,2,3,20,2
Irimbo,6,6,6,0,1,10,0
Ixtlan,13,12,12,0,0,0,1
Jacona,4,3,3,0,0,0,1
Jimenez,20,19,19,1,0,0,1
Jiquilpan,10,10,10,0,1,0,0
Juarez,9,9,9,0,2,6,0
Jungapeo,17,11,11,0,2,29,6
Lagunillas,5,4,4,0,0,0,1
Madero,15,11,11,0,2,38,4
Maravatio,34,31,31,0,2,15,3
Marcos Castellanos,8,7,7,0,1,12,1
Lazaro Cardenas,22,15,15,0,3,18,7
Morelia,83,73,73,1,5,58,10
Morelos,8,7,7,0,1,10,1
Mugica,5,5,5,0,3,53,0
Nahuatzen,8,4,4,0,0,0,4
Nocupetaro,13,11,11,0,0,0,2
Nuevo Parangaricutiro,4,2,1,1,0,0,2
Nuevo Urecho,12,12,12,0,2,16,0
Numaran,8,8,8,0,1,5,0
Ocampo,9,9,9,0,0,0,0
Pajacuaran,10,10,10,1,0,0,0
Panindicuaro,18,16,16,0,1,10,2
Paracuaro,21,18,18,1,9,106,3
Paracho,8,5,5,0,0,0,3
Patzcuaro,32,25,25,0,3,81,7
Penjamillo,22,21,21,1,2,37,1
Periban,8,7,7,0,2,30,1
La Piedad,26,20,18,4,2,100,6
Purepero,3,1,1,0,0,0,2
Puruandiro,40,36,36,0,0,0,4
Querendaro,10,9,9,0,0,0,1
Quiroga,4,1,1,0,1,12,3
Cojumatlan de Regules,10,8,8,0,0,0,2
Los Reyes,18,11,11,0,0,0,7
Sahuayo,5,5,5,0,0,0,0
San Lucas,26,23,23,0,0,0,3
Santa Ana Maya,8,8,8,0,0,0,0
Salvador Escalante,37,32,31,3,2,13,5
Senguio,15,12,12,0,0,0,3
Susupuato,13,12,12,0,2,52,1
Tacambaro,20,16,15,0,3,124,4
Tancitaro,12,8,8,0,3,46,4
Tangamandapio,10,9,8,1,1,0,1
Tangancicuaro,21,17,16,3,0,0,4
Tanhuato,12,6,6,0,0,0,6
Taretan,14,11,11,1,5,65,3
Tarimbaro,29,24,24,2,0,0,5
Tepalcatepec,34,28,27,0,4,28,6
Tingambato,4,4,4,0,0,0,0
Tingüindin,7,2,2,0,0,0,5
Tiquicheo de Nicolas Romero,18,15,15,0,3,39,3
Tlalpujahua,11,11,11,1,0,0,0
Tlazazalca,10,10,9,1,1,40,0
Tocumbo,9,7,7,0,0,0,2
Tumbiscatio,12,10,10,0,3,42,2
Turicato,21,16,16,0,0,0,5
Tuxpan,16,16,16,0,2,17,0
Tuzantla,28,22,21,0,2,44,6
Tzintzuntzan,8,5,5,0,0,0,3
Tzitzio,4,4,4,1,0,0,0
Uruapan,31,19,19,0,3,49,12
Venustiano Carranza,8,8,8,0,1,5,0
Villamar,20,19,19,0,1,8,1
Vista Hermosa,6,3,3,0,0,0,3
Yurecuaro,13,11,11,2,1,10,2
Zacapu,24,19,19,0,1,6,5
Zamora,26,26,26,1,1,15,0
Zinaparo,7,6,6,0,0,0,1
Zinapecuaro,31,28,28,0,5,56,3
Ziracuaretiro,10,7,7,1,1,14,3
Zitacuaro,31,26,26,0,9,411,5
Jose Sixto Verduzco,18,15,15,0,0,0,3
Morelos,234,187,181,11,7,109,47
Amacuzac,4,3,2,1,0,0,1
Atlatlahucan,C,C,2,0,0,0,C
Axochiapan,7,7,7,0,0,0,0
Ayala,16,16,16,0,1,12,0
Coatlan del Rio,5,4,4,0,0,0,1
Cuautla,9,8,7,0,1,4,1
Cuernavaca,11,6,5,1,0,0,5
Emiliano Zapata,6,5,5,0,0,0,1
Huitzilac,C,C,1,0,0,0,C
Jantetelco,7,5,5,0,1,13,2
Jiutepec,7,5,5,0,0,0,2
Jojutla,9,8,7,1,0,0,1
Jonacatepec,4,4,4,0,0,0,0
Mazatepec,C,C,1,0,0,0,C
Miacatlan,6,5,5,0,0,0,1
Ocuituco,9,4,4,0,0,0,5
Puente de Ixtla,9,6,5,1,0,0,3
Temixco,8,6,6,0,0,0,2
Tepalcingo,10,10,10,1,2,14,0
Tepoztlan,C,C,0,0,0,0,C
Tetecala,3,3,3,0,0,0,0
Tetela del Volcan,7,4,4,0,0,0,3
Tlalnepantla,3,3,3,1,0,0,0
Tlaltizapan,17,15,14,4,0,0,2
Tlaquiltenango,19,17,17,0,1,52,2
Tlayacapan,7,3,3,0,0,0,4
Totolapan,6,5,5,0,1,14,1
Xochitepec,6,4,4,0,0,0,2
Yautepec,10,9,9,0,0,0,1
Yecapixtla,11,10,10,0,0,0,1
Zacatepec de Hidalgo,3,3,3,1,0,0,0
Zacualpan de Amilpas,C,C,2,0,0,0,C
Temoac,4,3,3,0,0,0,1
Nayarit,404,349,345,16,53,492,55
Acaponeta,24,22,22,1,5,36,2
Ahuacatlan,8,8,8,0,0,0,0
Amatlan de Cañas,17,14,14,0,4,32,3
Compostela,31,27,27,2,4,45,4
Huajicori,10,7,7,0,2,17,3
Ixtlan del Rio,10,8,8,1,1,9,2
Jala,10,9,8,0,2,22,1
Xalisco,16,16,15,1,4,34,0
Del Nayar,24,11,10,0,4,20,13
Rosamorada,32,30,29,1,10,130,2
Ruiz,7,7,7,0,0,0,0
San Blas,33,33,33,0,2,9,0
San Pedro Lagunillas,9,8,8,0,0,0,1
Santa Maria del Oro,17,15,15,5,4,32,2
Santiago Ixcuintla,58,52,52,2,3,15,6
Tecuala,25,24,24,0,2,27,1
Tepic,51,38,38,2,5,49,13
Tuxpan,6,5,5,0,0,0,1
La Yesca,4,4,4,0,0,0,0
Bahia de Banderas,12,11,11,1,1,15,1
Nuevo Leon,607,508,504,18,112,1141,99
Abasolo,C,C,1,0,1,0,C
Agualeguas,6,6,6,0,1,0,0
Los Aldamas,C,C,1,0,0,0,C
Allende,C,C,1,0,0,0,C
Anahuac,13,10,10,0,4,0,3
Apodaca,C,C,0,0,0,0,C
Aramberri,43,37,37,1,9,113,6
Bustamante,C,C,2,1,2,10,C
Cadereyta Jimenez,32,31,31,1,19,104,1
Carmen,C,C,0,0,0,0,C
Cerralvo,C,C,0,0,0,0,C
Cienega de Flores,C,C,2,0,0,0,C
China,4,2,2,0,0,0,2
Dr. Arroyo,106,97,97,2,17,310,9
Dr. Gonzalez,3,2,2,0,1,0,1
Galeana,110,96,95,0,11,179,14
Garcia,11,9,9,0,2,0,2
Gral. Bravo,C,C,1,0,0,0,C
Gral. Escobedo,C,C,1,0,0,0,C
Gral. Teran,16,14,14,1,4,88,2
